nombre,descripcion,precio,descuento,stock,imagenes,soft_delete,category,marca
"CoolerMaster Model O53","CoolerMaster Model O53 — Producto de la línea Smartphones. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",284497,17,48,"https://source.unsplash.com/800x600/?smartphone;https://source.unsplash.com/800x600/?smartphone,tech;https://source.unsplash.com/800x600/?smartphone,product",false,24,"CoolerMaster"
"Corsair Volantes 396","Corsair Volantes 396 — Producto de la línea Volantes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",979208,0,33,"https://source.unsplash.com/800x600/?gaming%20controller;https://source.unsplash.com/800x600/?gaming%20controller,tech;https://source.unsplash.com/800x600/?gaming%20controller,product",false,22,"Corsair"
"LG Refrigeración 417","LG Refrigeración 417 — Producto de la línea Refrigeración (coolers, AIO). Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",635936,0,66,"https://source.unsplash.com/800x600/?cpu%20cooler;https://source.unsplash.com/800x600/?cpu%20cooler,tech;https://source.unsplash.com/800x600/?cpu%20cooler,product",false,11,"LG"
"Intel NVMe 895GB","Intel NVMe 895GB — Producto de la línea Discos SSD. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1054302,0,186,"https://source.unsplash.com/800x600/?ssd;https://source.unsplash.com/800x600/?ssd,tech;https://source.unsplash.com/800x600/?ssd,product",false,7,"Intel"
"Razer Gamer 533","Razer Gamer 533 — Producto de la línea Notebooks. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",214558,6,89,"https://source.unsplash.com/800x600/?laptop;https://source.unsplash.com/800x600/?laptop,tech;https://source.unsplash.com/800x600/?laptop,product",false,1,"Razer"
"Razer Model P94","Razer Model P94 — Producto de la línea Smartphones. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",68670,0,14,"https://source.unsplash.com/800x600/?smartphone;https://source.unsplash.com/800x600/?smartphone,tech;https://source.unsplash.com/800x600/?smartphone,product",false,24,"Razer"
"AMD Proyectores 224","AMD Proyectores 224 — Producto de la línea Proyectores. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",173256,12,169,"https://source.unsplash.com/800x600/?projector;https://source.unsplash.com/800x600/?projector,tech;https://source.unsplash.com/800x600/?projector,product",false,29,"AMD"
"Beyerdynamic Discos 819","Beyerdynamic Discos 819 — Producto de la línea Discos HDD. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",906810,0,71,"https://source.unsplash.com/800x600/?hdd%20hard%20drive;https://source.unsplash.com/800x600/?hdd%20hard%20drive,tech;https://source.unsplash.com/800x600/?hdd%20hard%20drive,product",false,8,"Beyerdynamic"
"Dell 20GB 3113MHz","Dell 20GB 3113MHz — Producto de la línea Memorias RAM. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",832849,6,11,"https://source.unsplash.com/800x600/?ram%20memory;https://source.unsplash.com/800x600/?ram%20memory,tech;https://source.unsplash.com/800x600/?ram%20memory,product",false,5,"Dell"
"Lenovo Consolas 597","Lenovo Consolas 597 — Producto de la línea Consolas. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",71056,22,198,"https://source.unsplash.com/800x600/?game%20console;https://source.unsplash.com/800x600/?game%20console,tech;https://source.unsplash.com/800x600/?game%20console,product",false,20,"Lenovo"
"Anker Slim 632","Anker Slim 632 — Producto de la línea Notebooks. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",361270,0,170,"https://source.unsplash.com/800x600/?laptop;https://source.unsplash.com/800x600/?laptop,tech;https://source.unsplash.com/800x600/?laptop,product",false,1,"Anker"
"LG Gabinetes 833","LG Gabinetes 833 — Producto de la línea Gabinetes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1066101,0,172,"https://source.unsplash.com/800x600/?pc%20case;https://source.unsplash.com/800x600/?pc%20case,tech;https://source.unsplash.com/800x600/?pc%20case,product",false,10,"LG"
"Apple Slim 335","Apple Slim 335 — Producto de la línea PCs de Escritorio. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",399042,0,14,"https://source.unsplash.com/800x600/?desktop%20computer;https://source.unsplash.com/800x600/?desktop%20computer,tech;https://source.unsplash.com/800x600/?desktop%20computer,product",false,2,"Apple"
"Beyerdynamic Refrigeración 656","Beyerdynamic Refrigeración 656 — Producto de la línea Refrigeración (coolers, AIO). Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",757567,0,14,"https://source.unsplash.com/800x600/?cpu%20cooler;https://source.unsplash.com/800x600/?cpu%20cooler,tech;https://source.unsplash.com/800x600/?cpu%20cooler,product",false,11,"Beyerdynamic"
"Redragon Volantes 212","Redragon Volantes 212 — Producto de la línea Volantes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",185278,25,59,"https://source.unsplash.com/800x600/?gaming%20controller;https://source.unsplash.com/800x600/?gaming%20controller,tech;https://source.unsplash.com/800x600/?gaming%20controller,product",false,22,"Redragon"
"Brother Gabinetes 535","Brother Gabinetes 535 — Producto de la línea Gabinetes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",331543,0,29,"https://source.unsplash.com/800x600/?pc%20case;https://source.unsplash.com/800x600/?pc%20case,tech;https://source.unsplash.com/800x600/?pc%20case,product",false,10,"Brother"
"Apple Micrófonos 565","Apple Micrófonos 565 — Producto de la línea Micrófonos. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",310809,0,138,"https://source.unsplash.com/800x600/?microphone;https://source.unsplash.com/800x600/?microphone,tech;https://source.unsplash.com/800x600/?microphone,product",false,15,"Apple"
"Beyerdynamic Fuentes 676","Beyerdynamic Fuentes 676 — Producto de la línea Fuentes de poder. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",503899,0,157,"https://source.unsplash.com/800x600/?power%20supply;https://source.unsplash.com/800x600/?power%20supply,tech;https://source.unsplash.com/800x600/?power%20supply,product",false,9,"Beyerdynamic"
"TP-Link Model B10","TP-Link Model B10 — Producto de la línea Smartphones. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",628875,0,194,"https://source.unsplash.com/800x600/?smartphone;https://source.unsplash.com/800x600/?smartphone,tech;https://source.unsplash.com/800x600/?smartphone,product",false,24,"TP-Link"
"Beyerdynamic Impresoras 333","Beyerdynamic Impresoras 333 — Producto de la línea Impresoras Láser. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",252776,0,91,"https://source.unsplash.com/800x600/?printer;https://source.unsplash.com/800x600/?printer,tech;https://source.unsplash.com/800x600/?printer,product",false,18,"Beyerdynamic"
"Beyerdynamic Glide","Beyerdynamic Glide — Producto de la línea Mouse. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",102655,22,70,"https://source.unsplash.com/800x600/?mouse;https://source.unsplash.com/800x600/?mouse,tech;https://source.unsplash.com/800x600/?mouse,product",false,13,"Beyerdynamic"
"Epson Sillas 697","Epson Sillas 697 — Producto de la línea Sillas Gamer. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",114062,0,75,"https://source.unsplash.com/800x600/?gaming%20chair;https://source.unsplash.com/800x600/?gaming%20chair,tech;https://source.unsplash.com/800x600/?gaming%20chair,product",false,23,"Epson"
"TP-Link Webcams 502","TP-Link Webcams 502 — Producto de la línea Webcams. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",606024,0,132,"https://source.unsplash.com/800x600/?webcam;https://source.unsplash.com/800x600/?webcam,tech;https://source.unsplash.com/800x600/?webcam,product",false,16,"TP-Link"
"HyperX Slim 657","HyperX Slim 657 — Producto de la línea Notebooks. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",54905,17,73,"https://source.unsplash.com/800x600/?laptop;https://source.unsplash.com/800x600/?laptop,tech;https://source.unsplash.com/800x600/?laptop,product",false,1,"HyperX"
"Kingston Motherboards 868","Kingston Motherboards 868 — Producto de la línea Motherboards. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",445780,0,195,"https://source.unsplash.com/800x600/?motherboard;https://source.unsplash.com/800x600/?motherboard,tech;https://source.unsplash.com/800x600/?motherboard,product",false,6,"Kingston"
"Sony Motherboards 179","Sony Motherboards 179 — Producto de la línea Motherboards. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",341610,0,182,"https://source.unsplash.com/800x600/?motherboard;https://source.unsplash.com/800x600/?motherboard,tech;https://source.unsplash.com/800x600/?motherboard,product",false,6,"Sony"
"AMD Proyectores 453","AMD Proyectores 453 — Producto de la línea Proyectores. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",331546,11,163,"https://source.unsplash.com/800x600/?projector;https://source.unsplash.com/800x600/?projector,tech;https://source.unsplash.com/800x600/?projector,product",false,29,"AMD"
"HP Gabinetes 493","HP Gabinetes 493 — Producto de la línea Gabinetes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",836996,0,168,"https://source.unsplash.com/800x600/?pc%20case;https://source.unsplash.com/800x600/?pc%20case,tech;https://source.unsplash.com/800x600/?pc%20case,product",false,10,"HP"
"CoolerMaster Fuentes 581","CoolerMaster Fuentes 581 — Producto de la línea Fuentes de poder. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",583393,22,50,"https://source.unsplash.com/800x600/?power%20supply;https://source.unsplash.com/800x600/?power%20supply,tech;https://source.unsplash.com/800x600/?power%20supply,product",false,9,"CoolerMaster"
"Logitech Motherboards 170","Logitech Motherboards 170 — Producto de la línea Motherboards. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1124833,0,134,"https://source.unsplash.com/800x600/?motherboard;https://source.unsplash.com/800x600/?motherboard,tech;https://source.unsplash.com/800x600/?motherboard,product",false,6,"Logitech"
"Brother Fuentes 506","Brother Fuentes 506 — Producto de la línea Fuentes de poder. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",133561,0,145,"https://source.unsplash.com/800x600/?power%20supply;https://source.unsplash.com/800x600/?power%20supply,tech;https://source.unsplash.com/800x600/?power%20supply,product",false,9,"Brother"
"TP-Link Webcams 800","TP-Link Webcams 800 — Producto de la línea Webcams. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",138476,0,22,"https://source.unsplash.com/800x600/?webcam;https://source.unsplash.com/800x600/?webcam,tech;https://source.unsplash.com/800x600/?webcam,product",false,16,"TP-Link"
"Anker Switches 515","Anker Switches 515 — Producto de la línea Switches. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",134827,0,15,"https://source.unsplash.com/800x600/?network%20switch;https://source.unsplash.com/800x600/?network%20switch,tech;https://source.unsplash.com/800x600/?network%20switch,product",false,31,"Anker"
"TP-Link Proyectores 328","TP-Link Proyectores 328 — Producto de la línea Proyectores. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",437061,0,72,"https://source.unsplash.com/800x600/?projector;https://source.unsplash.com/800x600/?projector,tech;https://source.unsplash.com/800x600/?projector,product",false,29,"TP-Link"
"AMD Discos 502","AMD Discos 502 — Producto de la línea Discos HDD. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",223500,19,163,"https://source.unsplash.com/800x600/?hdd%20hard%20drive;https://source.unsplash.com/800x600/?hdd%20hard%20drive,tech;https://source.unsplash.com/800x600/?hdd%20hard%20drive,product",false,8,"AMD"
"Samsung Switches 394","Samsung Switches 394 — Producto de la línea Switches. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",283011,0,192,"https://source.unsplash.com/800x600/?network%20switch;https://source.unsplash.com/800x600/?network%20switch,tech;https://source.unsplash.com/800x600/?network%20switch,product",false,31,"Samsung"
"Nvidia 61GB 3875MHz","Nvidia 61GB 3875MHz — Producto de la línea Memorias RAM. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",746270,0,62,"https://source.unsplash.com/800x600/?ram%20memory;https://source.unsplash.com/800x600/?ram%20memory,tech;https://source.unsplash.com/800x600/?ram%20memory,product",false,5,"Nvidia"
"Lenovo WH","Lenovo WH — Producto de la línea Auriculares. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",924806,0,87,"https://source.unsplash.com/800x600/?headphones;https://source.unsplash.com/800x600/?headphones,tech;https://source.unsplash.com/800x600/?headphones,product",false,14,"Lenovo"
"Beyerdynamic Switches 567","Beyerdynamic Switches 567 — Producto de la línea Switches. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",325811,0,51,"https://source.unsplash.com/800x600/?network%20switch;https://source.unsplash.com/800x600/?network%20switch,tech;https://source.unsplash.com/800x600/?network%20switch,product",false,31,"Beyerdynamic"
"Samsung Viper","Samsung Viper — Producto de la línea Mouse. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",664155,5,58,"https://source.unsplash.com/800x600/?mouse;https://source.unsplash.com/800x600/?mouse,tech;https://source.unsplash.com/800x600/?mouse,product",false,13,"Samsung"
"Beyerdynamic Ryzen 6 3493","Beyerdynamic Ryzen 6 3493 — Producto de la línea Procesadores (CPU). Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",161559,0,11,"https://source.unsplash.com/800x600/?cpu;https://source.unsplash.com/800x600/?cpu,tech;https://source.unsplash.com/800x600/?cpu,product",false,4,"Beyerdynamic"
"Corsair Glide","Corsair Glide — Producto de la línea Mouse. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1123847,0,32,"https://source.unsplash.com/800x600/?mouse;https://source.unsplash.com/800x600/?mouse,tech;https://source.unsplash.com/800x600/?mouse,product",false,13,"Corsair"
"Sony 30GB 3417MHz","Sony 30GB 3417MHz — Producto de la línea Memorias RAM. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",193374,0,178,"https://source.unsplash.com/800x600/?ram%20memory;https://source.unsplash.com/800x600/?ram%20memory,tech;https://source.unsplash.com/800x600/?ram%20memory,product",false,5,"Sony"
"Samsung Gabinetes 366","Samsung Gabinetes 366 — Producto de la línea Gabinetes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",411821,0,103,"https://source.unsplash.com/800x600/?pc%20case;https://source.unsplash.com/800x600/?pc%20case,tech;https://source.unsplash.com/800x600/?pc%20case,product",false,10,"Samsung"
"Nvidia Micrófonos 291","Nvidia Micrófonos 291 — Producto de la línea Micrófonos. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1153311,21,132,"https://source.unsplash.com/800x600/?microphone;https://source.unsplash.com/800x600/?microphone,tech;https://source.unsplash.com/800x600/?microphone,product",false,15,"Nvidia"
"NZXT Barras 109","NZXT Barras 109 — Producto de la línea Barras de sonido. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",659267,24,157,"https://source.unsplash.com/800x600/?soundbar;https://source.unsplash.com/800x600/?soundbar,tech;https://source.unsplash.com/800x600/?soundbar,product",false,28,"NZXT"
"Logitech Ultra 149","Logitech Ultra 149 — Producto de la línea PCs de Escritorio. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",921817,24,144,"https://source.unsplash.com/800x600/?desktop%20computer;https://source.unsplash.com/800x600/?desktop%20computer,tech;https://source.unsplash.com/800x600/?desktop%20computer,product",false,2,"Logitech"
"TP-Link 60GB 4801MHz","TP-Link 60GB 4801MHz — Producto de la línea Memorias RAM. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",883824,0,96,"https://source.unsplash.com/800x600/?ram%20memory;https://source.unsplash.com/800x600/?ram%20memory,tech;https://source.unsplash.com/800x600/?ram%20memory,product",false,5,"TP-Link"
"Corsair Discos 666","Corsair Discos 666 — Producto de la línea Discos HDD. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",460632,0,9,"https://source.unsplash.com/800x600/?hdd%20hard%20drive;https://source.unsplash.com/800x600/?hdd%20hard%20drive,tech;https://source.unsplash.com/800x600/?hdd%20hard%20drive,product",false,8,"Corsair"
"Beyerdynamic Sillas 539","Beyerdynamic Sillas 539 — Producto de la línea Sillas Gamer. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",705801,0,24,"https://source.unsplash.com/800x600/?gaming%20chair;https://source.unsplash.com/800x600/?gaming%20chair,tech;https://source.unsplash.com/800x600/?gaming%20chair,product",false,23,"Beyerdynamic"
"CoolerMaster Proyectores 353","CoolerMaster Proyectores 353 — Producto de la línea Proyectores. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",272549,15,107,"https://source.unsplash.com/800x600/?projector;https://source.unsplash.com/800x600/?projector,tech;https://source.unsplash.com/800x600/?projector,product",false,29,"CoolerMaster"
"Beyerdynamic Impresoras 390","Beyerdynamic Impresoras 390 — Producto de la línea Impresoras Láser. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",679584,0,190,"https://source.unsplash.com/800x600/?printer;https://source.unsplash.com/800x600/?printer,tech;https://source.unsplash.com/800x600/?printer,product",false,18,"Beyerdynamic"
"Brother Sillas 712","Brother Sillas 712 — Producto de la línea Sillas Gamer. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",387762,0,130,"https://source.unsplash.com/800x600/?gaming%20chair;https://source.unsplash.com/800x600/?gaming%20chair,tech;https://source.unsplash.com/800x600/?gaming%20chair,product",false,23,"Brother"
"Intel Sillas 400","Intel Sillas 400 — Producto de la línea Sillas Gamer. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",306261,0,57,"https://source.unsplash.com/800x600/?gaming%20chair;https://source.unsplash.com/800x600/?gaming%20chair,tech;https://source.unsplash.com/800x600/?gaming%20chair,product",false,23,"Intel"
"LG Joysticks 313","LG Joysticks 313 — Producto de la línea Joysticks. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",695272,16,28,"https://source.unsplash.com/800x600/?gaming%20controller;https://source.unsplash.com/800x600/?gaming%20controller,tech;https://source.unsplash.com/800x600/?gaming%20controller,product",false,21,"LG"
"Brother Volantes 271","Brother Volantes 271 — Producto de la línea Volantes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",909665,8,5,"https://source.unsplash.com/800x600/?gaming%20controller;https://source.unsplash.com/800x600/?gaming%20controller,tech;https://source.unsplash.com/800x600/?gaming%20controller,product",false,22,"Brother"
"Lenovo G Pro","Lenovo G Pro — Producto de la línea Mouse. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",899177,21,69,"https://source.unsplash.com/800x600/?mouse;https://source.unsplash.com/800x600/?mouse,tech;https://source.unsplash.com/800x600/?mouse,product",false,13,"Lenovo"
"Dell Discos 158","Dell Discos 158 — Producto de la línea Discos HDD. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",985081,5,178,"https://source.unsplash.com/800x600/?hdd%20hard%20drive;https://source.unsplash.com/800x600/?hdd%20hard%20drive,tech;https://source.unsplash.com/800x600/?hdd%20hard%20drive,product",false,8,"Dell"
"Epson Model M59","Epson Model M59 — Producto de la línea Smartwatches. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",604508,0,36,"https://source.unsplash.com/800x600/?smartwatch;https://source.unsplash.com/800x600/?smartwatch,tech;https://source.unsplash.com/800x600/?smartwatch,product",false,26,"Epson"
"AMD Consolas 666","AMD Consolas 666 — Producto de la línea Consolas. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",344761,0,33,"https://source.unsplash.com/800x600/?game%20console;https://source.unsplash.com/800x600/?game%20console,tech;https://source.unsplash.com/800x600/?game%20console,product",false,20,"AMD"
"Corsair Cloud","Corsair Cloud — Producto de la línea Auriculares. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1084859,0,77,"https://source.unsplash.com/800x600/?headphones;https://source.unsplash.com/800x600/?headphones,tech;https://source.unsplash.com/800x600/?headphones,product",false,14,"Corsair"
"AMD Refrigeración 928","AMD Refrigeración 928 — Producto de la línea Refrigeración (coolers, AIO). Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1003134,12,129,"https://source.unsplash.com/800x600/?cpu%20cooler;https://source.unsplash.com/800x600/?cpu%20cooler,tech;https://source.unsplash.com/800x600/?cpu%20cooler,product",false,11,"AMD"
"Epson Routers 758","Epson Routers 758 — Producto de la línea Routers. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",93431,0,44,"https://source.unsplash.com/800x600/?router;https://source.unsplash.com/800x600/?router,tech;https://source.unsplash.com/800x600/?router,product",false,30,"Epson"
"Apple Impresoras 670","Apple Impresoras 670 — Producto de la línea Impresoras Láser. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1156870,0,29,"https://source.unsplash.com/800x600/?printer;https://source.unsplash.com/800x600/?printer,tech;https://source.unsplash.com/800x600/?printer,product",false,18,"Apple"
"Intel WH","Intel WH — Producto de la línea Auriculares. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",520067,0,44,"https://source.unsplash.com/800x600/?headphones;https://source.unsplash.com/800x600/?headphones,tech;https://source.unsplash.com/800x600/?headphones,product",false,14,"Intel"
"Xiaomi Impresoras 416","Xiaomi Impresoras 416 — Producto de la línea Impresoras Láser. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",41922,0,36,"https://source.unsplash.com/800x600/?printer;https://source.unsplash.com/800x600/?printer,tech;https://source.unsplash.com/800x600/?printer,product",false,18,"Xiaomi"
"Kingston Model C73","Kingston Model C73 — Producto de la línea Smartphones. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",225710,0,177,"https://source.unsplash.com/800x600/?smartphone;https://source.unsplash.com/800x600/?smartphone,tech;https://source.unsplash.com/800x600/?smartphone,product",false,24,"Kingston"
"Nvidia 24GB 4758MHz","Nvidia 24GB 4758MHz — Producto de la línea Memorias RAM. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",865882,24,151,"https://source.unsplash.com/800x600/?ram%20memory;https://source.unsplash.com/800x600/?ram%20memory,tech;https://source.unsplash.com/800x600/?ram%20memory,product",false,5,"Nvidia"
"Brother Switches 210","Brother Switches 210 — Producto de la línea Switches. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",182827,0,8,"https://source.unsplash.com/800x600/?network%20switch;https://source.unsplash.com/800x600/?network%20switch,tech;https://source.unsplash.com/800x600/?network%20switch,product",false,31,"Brother"
"Dell Proyectores 211","Dell Proyectores 211 — Producto de la línea Proyectores. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",924457,0,153,"https://source.unsplash.com/800x600/?projector;https://source.unsplash.com/800x600/?projector,tech;https://source.unsplash.com/800x600/?projector,product",false,29,"Dell"
"Nvidia X 534","Nvidia X 534 — Producto de la línea PCs de Escritorio. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",253966,0,192,"https://source.unsplash.com/800x600/?desktop%20computer;https://source.unsplash.com/800x600/?desktop%20computer,tech;https://source.unsplash.com/800x600/?desktop%20computer,product",false,2,"Nvidia"
"Xiaomi Model V99","Xiaomi Model V99 — Producto de la línea Smartwatches. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",84230,0,60,"https://source.unsplash.com/800x600/?smartwatch;https://source.unsplash.com/800x600/?smartwatch,tech;https://source.unsplash.com/800x600/?smartwatch,product",false,26,"Xiaomi"
"HyperX Webcams 113","HyperX Webcams 113 — Producto de la línea Webcams. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",1126274,15,139,"https://source.unsplash.com/800x600/?webcam;https://source.unsplash.com/800x600/?webcam,tech;https://source.unsplash.com/800x600/?webcam,product",false,16,"HyperX"
"Dell Gabinetes 914","Dell Gabinetes 914 — Producto de la línea Gabinetes. Especificaciones y rendimiento confiables. Ideal para uso diario y gaming ligero.",211526,0,124,"https://source.unsplash.com/800x600/?pc%20case;https://source.unsplash.com/800x600/?pc%20case,tech;https://source.unsplash.com/800x600/?pc%20case,product",false,10,"Dell"
